age_years,gender,ssc_percentage,hsc_percentage,degree_percentage,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,previous_ctc_lpa,expected_ctc_lpa,bond_requirement,notice_period_days,employment_gap_months,interview_score,experience_category,ssc_band,hsc_band,degree_band,ssc_score,hsc_score,degree_score,academic_score,academic_performance_band,skill_match_level,interview_performance,placement_prob_score,placement_prob_band,degree_specialization_Computer Science,degree_specialization_Electronics,degree_specialization_Information Technology,degree_specialization_Mechanical,degree_specialization_Others,career_switch_willingness_Not Willing,career_switch_willingness_Unknown,career_switch_willingness_Willing,relevant_experience_Not Relevant,relevant_experience_Relevant,relevant_experience_Unknown,company_tier_Tier 1,company_tier_Tier 2,company_tier_Tier 3,job_role_match_Matched,job_role_match_Not Matched,job_role_match_Unknown,competition_level_High,competition_level_Low,competition_level_Medium,layoff_history_No,layoff_history_Unknown,layoff_history_Yes,relocation_willingness_Not Willing,relocation_willingness_Unknown,relocation_willingness_Willing,status
23.0,0.0,83.64430143,75.01387473,75.96008783,70.8075834,46.53378876,64.22712425,57.44794139,0.0,0.0,3.0,4.833827274,9.746182049,1.0,60.0,0.0,181.56849641,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.3807240696916312,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
31.0,1.0,77.70855709,69.23122658,74.09916059,70.32518339,66.48998691,77.24919308,80.23465039,2.0,1.0,2.0,1.0,5.282924442,0.0,15.0,12.0,214.06436338,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.5550607291026926,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
22.0,0.0,55.25650577,68.63570049,86.07913861,72.05065658,57.33956168,76.8997659,69.73530135,1.0,1.0,2.0,1.921838455,7.664565741,1.0,0.0,0.0,206.28998416,1.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,0.505636607747347,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,0.0,87.00384459,68.47948601,81.44095032,59.43593213,73.56537562,62.28149732,70.40627413,3.0,0.0,0.0,5.362321398,8.747860126,0.0,0.0,3.0,195.28280507,0.0,1.0,2.0,2.0,3.0,2.0,2.0,2.3333333333333335,2.0,0.0,2.0,0.35060534698290785,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,1.0,70.00250467904127,73.72336942,76.0869844,83.62244694,70.05214135,56.54035261,61.13557066,2.0,0.0,2.0,3.878695341,16.76373127,0.0,15.0,3.0,210.2149409,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.4468424591806185,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
32.0,0.0,63.63129777,76.31687193,79.52713942,64.42272583,58.06012556,61.20403094,85.91893077,3.0,1.0,3.0,7.602149283,6.026424933,0.0,60.0,3.0,183.68688233,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.6666666666666667,0.0,0.0,2.0,0.4562639740708011,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
28.0,1.0,78.66214651,73.37806441,77.05445609,58.14517395,60.94623278,45.0,67.87934721,1.0,1.0,2.0,3.559755347,3.644355724,0.0,60.0,0.0,164.09140673000002,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.25117987442223644,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,0.0,70.00250467904127,72.06063559601901,71.57251508,73.19743747,62.95326437,52.40062248,71.93703682,2.0,0.0,1.0,3.736832635,9.569887811,0.0,60.0,12.0,188.55132432000002,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.3724969038523313,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30.0,0.0,59.52946409,63.42037754,71.40875452,74.60534757,66.38315591,53.28239443,65.09104004,0.0,1.0,5.0,5.295313906,3.288584012,0.0,0.0,12.0,194.27089791000003,2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.3333333333333333,0.0,1.0,2.0,0.44707109833262515,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
21.0,1.0,73.08587883,65.22636407,70.48864158,74.6573594,52.43332787,79.28352898,66.871593,3.0,1.0,0.0,4.769695968,3.53534042,0.0,0.0,0.0,206.37421625000002,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.4727507418389728,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
27.0,0.0,85.56197254,82.83748379,77.7771875,54.33573961,73.51437624,62.52147667,61.84884166,0.0,1.0,0.0,3.94695175,7.958723394,0.0,60.0,0.0,190.37159252,0.0,1.0,2.0,2.0,3.0,2.0,2.0,2.3333333333333335,2.0,1.0,2.0,0.2934252800517043,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
31.0,1.0,62.2061604,70.89222673,93.17390358,66.57348413,64.25737723,51.99610321,90.87989605,3.0,0.0,5.0,8.709507104,12.14996061,0.0,30.0,0.0,182.82696457,2.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,0.4862502723987815,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
23.0,0.0,77.4298949,68.40102175,87.95685844,83.72959621,73.9298541,69.48021152,73.22221374,0.0,0.0,2.0,9.561814377,5.777898488,0.0,0.0,0.0,227.13966183000002,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.3333333333333335,2.0,0.0,2.0,0.5724395160029402,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
30.0,1.0,59.58859479,75.66262029,89.20897221,62.39036468,57.53117484,68.80812513,76.80370947,1.0,1.0,2.0,3.976829514,3.778093406,0.0,60.0,0.0,188.72966465,1.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,0.4341947027321448,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
25.0,0.0,69.39058097,74.56927517,84.00560765,83.73989661,63.54194653,63.49773693,72.45356368,1.0,1.0,4.0,2.110694228,5.881246905,1.0,30.0,12.0,210.77958007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.5548319979452238,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
25.0,1.0,73.12059897,72.06063559601901,78.50296359,53.17967595,82.36938907,75.43610729,65.28223642,5.0,0.0,2.0,7.649109948,4.53647392,0.0,30.0,0.0,210.98517231,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.4307151590419094,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
23.0,0.0,54.64469284,72.55569498,71.83830815,60.92608168,62.43500299,84.83977307,66.98505701,0.0,0.0,2.0,2.764293134,6.896432684,0.0,15.0,0.0,208.20085774,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.6666666666666667,0.0,1.0,2.0,0.49129177031365934,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
28.0,0.0,65.83843854,65.8656291,86.60202919,61.88355333,51.79507216,73.14293539,65.73039446,0.0,0.0,2.0,3.862501336,8.958892697,0.0,0.0,3.0,186.82156088,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.3333333333333335,2.0,1.0,2.0,0.4041420664910803,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33.0,1.0,65.34954554,74.86345328,78.28952722,70.90604402,79.88227258,78.20588545,82.60225128,2.0,0.0,5.0,1.0,8.140957675,0.0,30.0,0.0,228.99420205,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.6592845587568927,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
28.0,0.0,66.76638968,78.31103946,77.96399407,65.73918734,62.80017212,51.87245922,72.69390188,0.0,0.0,0.0,3.314018105,6.162272344,0.0,0.0,6.0,180.41181868,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.31200355126413426,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
24.0,0.0,81.84700936,79.1447116,68.94494422,80.57292331,75.74442823,72.79337887,90.34393159,2.0,1.0,1.0,4.292935288,5.66763089,1.0,0.0,3.0,229.11073041,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.6202129197846844,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
21.0,1.0,76.12147686,67.79969295,77.1703654,69.79530834,72.57790214,45.09866944,75.54033431,1.0,0.0,2.0,1.0,6.949073019,0.0,0.0,0.0,187.47187992000002,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.36552337380379785,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,0.0,72.99000566,89.23016204,65.69786872,65.11286965,60.60090988,74.5025155,66.4448556,1.0,0.0,2.0,5.45970581,13.11857131,0.0,30.0,6.0,200.21629503,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.3333333333333335,2.0,1.0,2.0,0.4495425825601984,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
29.0,0.0,63.47399324,76.40354605,71.36395836,83.07127902,64.69172032,51.86253268,90.11382643,1.0,1.0,3.0,5.241728861,8.867810218,0.0,30.0,0.0,199.62553202000004,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.6666666666666667,0.0,0.0,2.0,0.5319507575215086,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
21.0,1.0,70.00250467904127,65.21651442,66.78584149,74.07735147,61.4247155,90.71791632,71.31935155,4.0,1.0,1.0,5.310465566,6.745559008,0.0,90.0,0.0,226.21998329,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.5887136083175986,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24.0,0.0,74.28338699,77.47451458,81.6777003,55.17942182,49.53966464,70.30608694,61.40606042,1.0,0.0,0.0,1.0,5.813039288,0.0,30.0,0.0,175.0251734,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.29189318885459686,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,1.0,73.13233065,70.83979121,64.26563662,58.69578117,65.70784437,61.99960745,100.0,1.0,1.0,1.0,1.677074112,7.458675851,0.0,90.0,0.0,186.40323299,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.6666666666666667,0.0,0.0,2.0,0.4567655426583097,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
23.0,1.0,63.25054406,66.1864283,78.87092234,71.85144876,79.05238519,69.21509722,73.53663692,0.0,1.0,0.0,6.634425106,9.664298974,0.0,30.0,12.0,220.11893117,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.6666666666666667,0.0,0.0,2.0,0.4788238333450079,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
24.0,0.0,59.44852519,66.55332485,83.24948713,74.99043969,40.0,71.88335744,61.63627462,0.0,0.0,1.0,4.907102426,7.160330091,0.0,0.0,3.0,186.87379713,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.6666666666666667,0.0,1.0,2.0,0.4084693564525837,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
25.0,1.0,71.56261017,78.00882508,65.36450342,61.98193476,49.5871739,77.72113115,100.0,1.0,0.0,2.0,5.114571507,10.05754062,0.0,30.0,3.0,189.29023981,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.5507282498291273,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
29.0,1.0,86.97486776,86.98197468,65.00114854,72.8369057,82.83802532,59.18300329,61.86054847,1.0,0.0,1.0,8.453286789,6.678156968,0.0,0.0,0.0,214.85793431000002,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.6666666666666665,2.0,1.0,2.0,0.4125281784566991,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
23.0,0.0,74.907017,70.29717573,71.99439392,71.6736017,76.85937567,72.64921446,72.63329003,1.0,0.0,1.0,8.245758068,11.84385862,0.0,30.0,0.0,221.18219183000002,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.5095845185403952,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
21.0,0.0,73.29885941,56.06928664,81.14673692,64.85366024,67.51502588,64.33131596,63.75777876,1.0,1.0,0.0,3.405084184,8.2056274,0.0,0.0,12.0,196.70000208,0.0,2.0,0.0,2.0,2.0,1.0,2.0,1.6666666666666667,0.0,1.0,2.0,0.35480861104121136,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
27.0,1.0,72.20267239,72.14463736,78.09289739,70.79842155,69.22931356,50.53558686,64.77565512,4.0,0.0,4.0,6.338125038,9.73944747,0.0,0.0,0.0,190.56332196999998,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.3957466108962721,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
25.0,0.0,85.23758347,70.91293544,68.81480424,77.88072981,45.35156611,71.71815794,93.6157107,0.0,0.0,0.0,6.775128247,9.193017701,0.0,0.0,0.0,194.95045386,0.0,1.0,2.0,2.0,3.0,2.0,2.0,2.3333333333333335,2.0,0.0,2.0,0.5301288241486152,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32.0,0.0,73.13971002,72.65554817,81.76075033,69.16475218,59.87184869,72.99316822,94.16422168,1.0,1.0,1.0,3.73832063,11.02647679,1.0,90.0,6.0,202.02976909,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.5420262163959741,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.0,69.75213631,72.06063559601901,74.06650323,85.22527338,65.75916829,63.74619535,83.43495637,2.0,0.0,0.0,1.222815344,7.807830823,1.0,30.0,0.0,214.73063702000002,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.5286110651974895,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.0,68.15812581,72.95373011,73.8103602,52.6906028,67.54830945,72.30944578,69.10928068,2.0,0.0,5.0,3.933318108,3.0,0.0,30.0,6.0,192.54835803,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.45433874827032017,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
23.0,1.0,84.9828832,70.44553398,76.52169806,66.53346692,52.51267585,68.90012183,81.31658175,0.0,1.0,3.0,5.158400124,13.64831,0.0,30.0,0.0,187.9462646,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.48316540143290365,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
21.0,1.0,69.99326747,62.44294817,63.72272731,60.45455114,43.1769697,71.06809912,64.52734262,2.0,0.0,1.0,5.698790322,5.518409343,0.0,60.0,0.0,174.69961996,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.3333333333333333,0.0,1.0,2.0,0.342939511438595,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
